"SEO","SEO"
"MageWorkshop - Shopping Cart Notifications","MageWorkshop - Shopping Cart Notifications"
"Enabled","Enabled"
"Add to Cart Loader Enabled","Add to Cart Loader Enabled"
"Add to Cart Notifications Enabled","Add to Cart Notifications Enabled"
"Notification Display Time (milliseconds)","Notification Display Time (milliseconds)"
"No banned users found.","No banned users found."
"Sorry, but only verified buyers can post reviews.","Sorry, but only verified buyers can post reviews."
"Ban customer","Ban customer"
"Are you sure that you want to ban this customer(s)?","Are you sure that you want to ban this customer(s)?"
"Ban customer to post reviews","Ban customer to post reviews"
"Delete from ban list","Delete from ban list"
"Are you sure to delete selected customers from ban list?","Are you sure to delete selected customers from ban list?"
"Is Banned to write review till","Is Banned to write review till"
"Only verified buyers can post reviews. Please, log in or enter your email so we can verify you.","Only verified buyers can post reviews. Please, log in or enter your email so we can verify you."