"Review Details","Review Details"
"Refresh Review Details Data","Refresh Review Details Data"
"Video","Video"
"Review Fields","Review Fields"
"Manage Review Fields","Manage Review Fields"
"Review Forms","Review Forms"
"Manage Review Forms","Manage Review Forms"
"New Review Field","New Review Field"
"Edit Review Field","Edit Review Field"
"Add New Review Form","Add New Review Form"
"Edit Review Form","Edit Review Form"
"Attribute Information","Attribute Information"
"Save and Continue Editing","Save and Continue Editing"
"Save Field","Save Field"
"Delete Field","Delete Field"
"Edit Review Field ""%1""","Edit Review Field ""%1"""
"Edit Review Form ""%1""","Edit Review Form ""%1"""
"Image Select","Image Select"
"Advanced Field Properties","Advanced Field Properties"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","This is used internally. Make sure you don't use spaces or more than %1 symbols."
"Field Code","Field Code"
"Default Value","Default Value"
"Properties","Properties"
"Field Properties","Field Properties"
"Manage Labels","Manage Labels"
"Manage Options (values of your field)","Manage Options (values of your field)"
"Is Default","Is Default"
"An attribute with the same code (%1) already exists.","An attribute with the same code (%1) already exists."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"This attribute no longer exists.","This attribute no longer exists."
"This attribute belongs to another entity and can not be edited here.","This attribute belongs to another entity and can not be edited here."
"Review attribute was saved.","Review attribute was saved."
"Are you sure you want to do this? Attribute will be removed from all forms and associated reviews data will be erased.","Are you sure you want to do this? Attribute will be removed from all forms and associated reviews data will be erased."
"This is not a review attribute. It can not be deleted.","This is not a review attribute. It can not be deleted."
"Review attribute was successfully deleted.","Review attribute was successfully deleted."
"Input Type","Input Type"
"This review form no longer exists.","This review form no longer exists."
"Delete Form","Delete Form"
"Form Configuration","Form Configuration"
"Form Name","Form Name"
"Included Fields","Included Fields"
"Available Fields","Available Fields"
"Sort Fields","Sort Fields"
"Nickname, Summary and Review Details are mandatory and can not be removed.","Nickname, Summary and Review Details are mandatory and can not be removed."
"Form name is missed.","Form name is missed."
"Review form with the same name already exists.","Review form with the same name already exists."
"The following form fields do not exist or are invalid: %1","The following form fields do not exist or are invalid: %1"
"This attribute set does not belong to the Review entity and can not be edited here.","This attribute set does not belong to the Review entity and can not be edited here."
"Review form was saved.","Review form was saved."
"Review form was successfully deleted.","Review form was successfully deleted."
"Are you sure you want to do this? Review form will be deleted and parent/default form will be used instead.","Are you sure you want to do this? Review form will be deleted and parent/default form will be used instead."
"Rebuild Reviews Flat Table Structure","Rebuild Reviews Flat Table Structure"
"Reorganize Reviews Flat Table Data","Reorganize Reviews Flat Table Data"
"Eav indexer is either invalid or working. Exiting for now.","Eav indexer is either invalid or working. Exiting for now."
"Add New Option","Add New Option"
"Validate Values","Validate Values"
"Validate Rules","Validate Rules"
"Field Validate","Field Validate"
"New Option","New Option"
"Select type of option.","Select type of option."
"Please add rows to option.","Please add rows to option."
"Delete Validate Rules Option","Delete Validate Rules Option"
"Sort Validate Rules Options","Sort Validate Rules Options"
"Product with ID %1 was not found!","Product with ID %1 was not found!"
"Review with ID %1 is not a product review!","Review with ID %1 is not a product review!"
"Result filter:","نتيجة الفلتر:"
"Last Week","آخر اسبوع"
"Last Month","آخر شهر"
"Last 6 Months","آخر 6 شهور"
"All Reviews","جميع التقييمات"
"Newest First","الاحدث اولا"
"Oldest First","الاقدم اولا"
"Search in reviews","بحث في التقييمات"
"Sort filter:","الترتيب:"
"Filter by:","فلترة حسب:"
"Sort by:","ترتيب حسب:"
"RATING & REVIEWS","التقييمات و الآراء"
"Average rating","معدل التقييم"
"Overall Rating","جميع التقييمات"
"Review by","تقييم من قبل"
"Posted on","تاريخ التقييم"
"Select the number of stars that reflect your overall item rating","حدد عدد النجوم التي تعكس التقييم العام للعنصر الخاص بك"
"Your Review","تقييمك"
"Share your opinion with others by writing a detailed review","شارك برأيك مع الآخرين من خلال كتابة مراجعة مفصلة"
"Tell us what you think about this item:","اخبرنا برأيك عن هذا المنتج"
"Maximum 255 chars","Maximum 255 chars"
"-- Please Select --","-- Please Select --"
"Product with ID %1 was not found!","Product with ID %1 was not found!"
"Can't generate fixtures for '%1' input type!","Can't generate fixtures for '%1' input type!"
"Error, no such validation class","Error, no such validation class"
"Product associated with this review","Product associated with this review"
"Cannot identify product associated with the current review","Cannot identify product associated with the current review"
"Please select one of each ratings above.","Please select one of each ratings above."
"Wrong EAV entity configuration detected","Wrong EAV entity configuration detected"
"Unable to detect the data type of the %1 attribute type","Unable to detect the data type of the %1 attribute type"
"Entity config was not found for %1 entity type","Entity config was not found for %1 entity type"
"Attempt to set incorrect option value for %1 attribute. Not enough option details","Attempt to set incorrect option value for %1 attribute. Not enough option details"
"No attribute data provided","No attribute data provided"
"No backend type specified for the attribute: %1","No backend type specified for the attribute: %1"
"Can't unserialize validate rules ""%1$s"" for attribute with input %2$s","Can't unserialize validate rules ""%1$s"" for attribute with input %2$s"
"%s class was not found","%s class was not found"
"Attribute configuration with the same type already exists","Attribute configuration with the same type already exists"
"No attribute configuration found for input type %1","No attribute configuration found for input type %1"
"Unable to find the data type configuration of the %1 attribute type","Unable to find the data type configuration of the %1 attribute type"
"Wrong EAV entity configuration detected","Wrong EAV entity configuration detected"
"Column definition should implement MageWorkshop\DetailedReview\Setup\ColumnConfigInterface","Column definition should implement MageWorkshop\DetailedReview\Setup\ColumnConfigInterface"
"Foreign Key definition should implement MageWorkshop\DetailedReview\Setup\ForeignKeyConfigInterface","Foreign Key definition should implement MageWorkshop\DetailedReview\Setup\ForeignKeyConfigInterface"
"Index definition should implement MageWorkshop\DetailedReview\Setup\IndexConfigInterface","Index definition should implement MageWorkshop\DetailedReview\Setup\IndexConfigInterface"
"Text Field","Text Field"
"Text Area","Text Area"
"Yes/No","Yes/No"
"Dropdown","Dropdown"
"Multiple Select","Multiple Select"
"Minimum length of this field must be equal or more than %1 symbols.","Minimum length of this field must be equal or more than %1 symbols."
"Sorry, no reviews matched your criteria.","Sorry, no reviews matched your criteria."
"Search","بحث"
"Clear all filters","ازالة جميع الفلاتر"
"In percents","In percents"
"If is set to ""Yes"", a 1% margin is added between the elements.","If is set to ""Yes"", a 1% margin is added between the elements."
"Desktop version width (more 1024px)","Desktop version width (more 1024px)"
"Tablet version width (more 768px)","Tablet version width (more 768px)"
"Mobile version width (less 768px)","Mobile version width (less 768px)"
"Desktop width","Desktop width"
"Tablet width","Tablet width"
"Mobile width","Mobile width"
"Add a horizontal line after","Add a horizontal line after"
"Verified buyer","Verified buyer"
"Select file(s)","Select file(s)"
"...read more","المزيد..."
"...less","اقل..."
"star","نجمة"
"Customer Reviews","آراء الزبائن"
"Review item sections","Review item sections"
"Review content section (main area)","Review content section (main area)"
"Customer details section (left bar)","Customer details section (left bar)"
"Text Area and Images are always displayed in the Review Content","Text Area and Images are always displayed in the Review Content"
"Show 'Read More'","Show 'Read More'"
"Show 'Read More' link for long reviews","Show 'Read More' link for long reviews"
"Symbols in Preview","Symbols in Preview"
"Enable nl2br conversion","Enable nl2br conversion"
"Convert newline character to the <br/> tag in the reviews list","Convert newline character to the <br/> tag in the reviews list"